[origional image resolution]:1200x750
150,-181.742,420.716,0,spargere,50
150,-372.689,566.77,0,supplicium,50
150,-332.445,403.442,0,sustinēre,50
150,-325.139,486.429,0,sententia,50
150,-269.266,572.954,0,templum,50
150,-339.617,441.479,0,sepulcrum,50
150,-308.543,-241.935,0,aliquandō,50
150,-314.36,500.36,0,argentum,50
150,-340.311,-125.293,0,pūblicus,50
150,-318.293,335.984,0,proficīscor,50
150,-248.737,6.44763,0,lēgātus,50
149.691,-234.867,415.394,0,spondēre,50
150,-258.17,-320.088,0,tergum,50
150,-299.848,599.234,0,barbarus,50
149.143,-178.372,-125.207,0,ingredior,50
150,-363.901,321.258,0,tempestas,50
150,-184.023,-45.7117,0,aethēr,50
150,-177.724,-203.314,0,imāgō,50
150,-223.985,-395.284,0,ēgregius,50
150,-348.296,374.742,0,membrum,50
150,-350.442,222.306,0,cingere,50
149.685,-229.196,81.4145,0,ingenium,50
150,-351.123,519.87,0,māgnus,50
148.583,-334.958,-227.353,0,māgnitūdō,50
138.008,-326.316,-67.5441,0,multitūdō,50
150,-372.023,468.097,0,dīgnitās,50
150,-289.728,146.077,0,iuvenis,50
150,-51.8156,339.119,0,brevis,50
148.541,-354.013,-288.554,0,frequēns,50
141.655,-363.635,603.896,0,quisquis,50
149.181,-305.796,-141.793,0,vestīgium,50
150,-294.538,-475.993,0,superbus,34
150,-157.055,194.519,0,reliquus,50
144.391,-235.475,-359.742,0,scīlicet,50
150,-98.4225,12.8417,0,dēbeō,50
149.645,19.1018,303.266,0,igitur,50
150,-360.402,425.878,0,frangere,50
150,-342.844,102.192,0,miscēre,50
149.47,-155.92,-406.005,0,unda,50
150,-121.32,-91.2084,0,frāter,50
150,-335.726,299.265,0,adversus,50
150,-250.363,598.974,0,antīquus,50
149.581,-96.0372,-246.897,0,regiō,50
149.113,-70.5821,-126.33,0,legiō,50
150,-99.3315,-307.588,0,tempus,50
145.94,-333.382,517.757,0,nātūra,50
150,-317.327,-521.644,0,negōtium,29
131.813,-33.6875,174.095,0,tālis,50
150,-57.5015,25.4531,0,sors,50
150,76.181,354.324,0,offerō,50
149.358,-2.96384,179.115,0,sōl,50
150,-21.6213,87.1926,0,aes,50
148.696,-105.127,-392.946,0,satis,50
139.337,20.5128,-217.522,0,quā,50
143.564,1.67914,265.449,0,diū:,50
143.48,16.4836,-158.809,0,vōs,50
149.86,-354.928,420.253,0,via,50
150,-145.4,646.647,0,dēdūcō,50
147.144,-359.832,-5.67902,0,grātus,26
150,54.6729,163.609,0,sūmō,27
141.745,-261.746,494.603,0,frūmentum,44
132.008,-135.576,-21.4905,0,itaque,45
150,-338.06,-382.754,0,speciēs,27
150,66.3205,291.765,0,rēs,50
150,67.9868,343.937,0,fābula,42
130.636,-35.9092,-172.781,0,bene,50
144.91,-74.396,-307.552,0,cōgō,40
145.201,-366.041,390.158,0,ita,50
142.448,-329.22,240.431,0,pretium,28
150,67.3454,-52.6802,0,plēnus,40
103.885,-55.3806,66.5539,0,diēs,50
150,-85.5468,647.316,0,postquam,50
150,219.294,522.158,0,caedēs,50
146.539,-343.144,447.007,0,iam,50
114.212,-182.267,628.07,0,parēns,50
145.441,-47.6754,-209.107,0,mīlle,39
94.4321,-356.439,317.747,0,for,50
125.01,-41.3,-428.539,0,rēx,50
149.676,-72.1554,95.287,0,māgnitūdō,25
150,-334.242,-546.158,0,supersum,25
130.527,-337.467,653.158,0,audēre,50
91.5098,46.6656,-82.5532,0,aliter,50
148.989,-4.58627,400.17,0,quoque,31
94.6441,-367.494,366.725,0,lātus,50
150,344.148,578.06,0,pontus,50
150,14.6744,56.2371,0,ars,41
149.395,81.1555,-112.303,0,vir,50
134.413,-247.763,527.03,0,mīlle,28
97.4787,-361.069,343.599,0,iūs,50
105.528,63.6114,165.918,0,āēr,44
150,-90.269,-322.769,0,differō,20
150,177.359,0.473267,0,ficere,28
144.889,29.2185,-280.886,0,cor,41
141.213,-140.385,256.159,0,haud,24
122.872,-346.888,-444.279,0,ibi,27
150,346.402,488.601,0,facere,50
76.5974,150.532,629.291,0,postquam,50
48.1243,-368.498,296.235,0,intrā,50
79.6423,-370.406,284.33,0,fīō,50
54.7304,18.1677,-2.10669,0,ferō,50
117.231,-361.181,631.667,0,propter,42
76.1758,-189.377,-325.23,0,vōs,50
105.666,-96.8672,-435.732,0,male,37
150,-363.606,-163.803,0,hīc,24
95.0146,-140.421,-317.35,0,for,44
47.5398,114.373,-190.975,0,rārus,50
117.499,32.0126,184.13,0,quī,38
95.0767,-366.318,315.171,0,īra,50
71.6886,96.0714,260.887,0,pēs,50
66.9904,-373.764,270.04,0,lūx,50
36.4211,-366.758,246.715,0,dūcō,50
150,354.884,601.448,0,rēx,50
104.177,-373.922,340.807,0,hic,50
48.0863,-363.483,251.763,0,flōs,50
146.417,-361.453,132.654,0,temnere,18
44.8739,53.7094,-380.487,0,cibus,50
54.3031,-20.1413,-467.063,0,vel,50
43.6375,265.052,219.275,0,tandem,30
109.359,21.5417,-84.2972,0,sub,37
36.1115,-371.3,221.637,0,dūrus,50
58.7336,-367.348,226.916,0,sīc,50
94.6462,117.847,-231.997,0,fax,50
64.499,-298.929,-89.5645,0,sententia,26
54.9836,-194.708,496.345,0,mittere,41
141.289,309.311,603.146,0,dōnec,35
59.3004,118.352,-97.5602,0,pāx,49
99.6445,-353.494,426.009,0,capere,27
150,-369.713,-304.523,0,iam,22
29.2991,-370.943,264.096,0,atque,50
29.2626,-374.435,217.802,0,testis,50
102.535,225.828,406.498,0,vērus,31
105.471,-172.335,11.6669,0,nēmō,15
49.5213,-82.4931,-469.557,0,dexter,43
82.8541,111.672,-169.585,0,tam,41
139.941,-372.532,23.0859,0,prius,19
29.4546,-293.655,354.418,0,superus,50
56.7609,-169.241,569.317,0,carmen,28
99.9419,-12.093,346.404,0,ēligō,23
64.2003,199.84,627.823,0,sacerdōs,45
69.8092,287.493,293.567,0,mare,50
106.276,332.826,514.968,0,tingere,42
64.7738,-357.64,-529.793,0,prō,24
111.558,261.75,-421.547,0,rere,28
93.5214,-370.544,149.907,0,pectus,14
95.6835,-372.941,-202.679,0,fruor,19
53.8682,8.62448,-6.69934,0,fore,41
87.4062,66.1592,226.74,0,sui,23
144.08,357.352,-539.505,0,parēns,35
46.1376,-246.623,473.538,0,num,41
30.6063,181.592,-63.1976,0,inter,42
72.8435,-370.884,-82.8935,0,diēs,23
50.3806,50.5393,115.485,0,dēnique,18
104.08,38.4441,-378.406,0,ops,28
29.3676,-373.446,449.888,0,tālis,48
44.8307,-126.155,-435.713,0,āra,38
64.9322,-362.247,-406.609,0,fors,33
58.1781,95.1283,-339.024,0,post,43
39.3713,-372.014,-459.317,0,fūnus,30
85.1422,-355.244,637.635,0,nōmen,44
80.2611,-367.448,-561.801,0,perīre,12
95.4554,150.78,-180.452,0,ut,46
35.4907,-369.196,226.454,0,sed,50
22.5674,197.026,-14.9871,0,citus,48
22.0072,-372.364,201.16,0,hibēre,50
48.2834,-370.375,249.796,0,lēx,50
47.4265,-284.916,370.635,0,mōs,43
102.495,341.706,13.483,0,venīre,27
52.3372,-98.9151,296.236,0,licet,34
56.7283,172.841,-59.7388,0,vix,34
74.6478,361.089,-71.8408,0,inimīcus,38
28.6411,-372.026,208.666,0,tuus,50
18.3432,-364.689,193.216,0,vātēs,50
46.1443,-7.60034,-151.825,0,ita,34
27.8224,54.2828,47.6893,0,pius,50
54.5437,57.3814,34.1348,0,ex,46
56.6529,-203.809,545.45,0,colere,21
77.3145,352.556,121.291,0,mīles,36
18.6501,194.862,4.69165,0,aptus,50
